Box,Corner1,Corner2,Corner3,Corner4
full,(115.0,4.2),(115.0,7.15),(119.4,7.15),(119.4,4.2)
trend1,(115.0,4.2),(115.0,7.15),(118.5,7.15),(116.25,4.2)
trend2,(116.25,4.2),(118.5,7.15),(119.4,7.15),(119.4,4.2)
