depth,vsv_avg,vsh_avg
256000.0,4613.93690755,4474.73228437
257000.0,4615.52559095,4477.68028706
258000.0,4617.19518982,4480.63354768
259000.0,4618.94570414,4483.59206621
260000.0,4620.77713394,4486.55584267
261000.0,4622.68947919,4489.52487704
262000.0,4624.68273991,4492.49916934
263000.0,4626.75691609,4495.47871956
264000.0,4628.91200774,4498.4635277
265000.0,4631.14801484,4501.45359376
266000.0,4633.46493742,4504.44891774
267000.0,4635.86277545,4507.44949964
268000.0,4638.34152895,4510.45533946
269000.0,4640.90119792,4513.4664372
270000.0,4643.54178234,4516.48279287
271000.0,4646.26328224,4519.50440645
272000.0,4649.06569759,4522.53127796
273000.0,4651.94902841,4525.56340738
274000.0,4655.04671258,4528.56028822
275000.0,4658.17954289,4531.54710288
276000.0,4661.25830268,4534.54509048
277000.0,4664.28299195,4537.55425101
278000.0,4667.25361071,4540.57458448
279000.0,4670.17015895,4543.60609088
280000.0,4673.03263667,4546.64877021
281000.0,4675.84104388,4549.70262247
282000.0,4678.59538058,4552.76764767
283000.0,4681.29564676,4555.8438458
284000.0,4683.94184242,4558.93121687
285000.0,4686.53396757,4562.02976087
286000.0,4689.0720222,4565.1394778
287000.0,4691.55600632,4568.26036766
288000.0,4693.98591992,4571.39243046
289000.0,4696.36176301,4574.53566619
290000.0,4698.68353558,4577.69007486
291000.0,4700.95123763,4580.85565645
292000.0,4703.16486917,4584.03241098
293000.0,4705.32443019,4587.22033845
294000.0,4707.4299207,4590.41943884
295000.0,4709.48134069,4593.62971218
296000.0,4711.47869017,4596.85115844
297000.0,4713.42196913,4600.08377764
298000.0,4715.31117757,4603.32756977
299000.0,4717.1463155,4606.58253483
300000.0,4718.92738291,4609.84867283
