depth,ani
1000.0,1.3564731837412118
2000.0,1.3477058796783927
3000.0,1.3372022212840284
4000.0,1.332915705496277
5000.0,1.3285079284492403
6000.0,1.3239807070629974
7000.0,1.319335905104912
8000.0,1.3145754314802647
9000.0,1.309701238330206
10000.0,1.304715319234765
11000.0,1.2996197073301903
12000.0,1.2944164733665318
13000.0,1.289107723830879
14000.0,1.283695598973134
15000.0,1.2781822708744788
16000.0,1.2725699414538878
17000.0,1.2668608405227524
18000.0,1.2610572237553712
19000.0,1.2551613707450753
20000.0,1.2491755830090792
21000.0,1.243102181994398
22000.0,1.236943507094515
23000.0,1.2307019137263442
24000.0,1.2243797713081888
25000.0,1.2179794613699875
26000.0,1.2115033756002405
27000.0,1.2049539139395777
28000.0,1.1983334827120955
29000.0,1.1916444927412977
30000.0,1.184889357529334
31000.0,1.1780704914508673
32000.0,1.1711903079617203
33000.0,1.1642512178587523
34000.0,1.1572556275571957
35000.0,1.1502059374479985
36000.0,1.1431045402170512
37000.0,1.1359538192799024
38000.0,1.1287561471744645
39000.0,1.1215138841044936
40000.0,1.1143008647725496
41000.0,1.1072722680306168
42000.0,1.1004714173806354
43000.0,1.0937707349204555
44000.0,1.087153874758619
45000.0,1.0806195762431487
46000.0,1.0741666031323607
47000.0,1.0677937430580535
48000.0,1.0614998069605173
49000.0,1.0552836285814975
50000.0,1.0491440639335206
51000.0,1.0430799908037092
52000.0,1.037090308260723
53000.0,1.0311739361951944
54000.0,1.0253298148413192
55000.0,1.0195569043361081
56000.0,1.013854184260105
57000.0,1.0082206532450806
58000.0,1.0026553285267257
59000.0,0.9971572455388481
60000.0,0.9917254575473966
61000.0,0.9863590352299569
62000.0,0.9810570663246347
63000.0,0.9758186552438767
64000.0,0.9706429227369014
65000.0,0.9655290055267904
66000.0,0.9604760559758471
67000.0,0.9554832417498634
68000.0,0.9505497455092753
69000.0,0.9456747645847778
70000.0,0.9408575106565663
71000.0,0.9360972094823619
72000.0,0.931393100586745
73000.0,0.9267444369852941
74000.0,0.9221504848969168
75000.0,0.9176105234686689
76000.0,0.913123844537403
77000.0,0.9086897523440964
78000.0,0.9043075632869598
79000.0,0.8999766056873191
80000.0,0.8956962195325952
81000.0,0.897100077794106
82000.0,0.8984728964894282
83000.0,0.8998144636461666
84000.0,0.9011245743607684
85000.0,0.9024030303232747
86000.0,0.9036496398824593
87000.0,0.9048642181465932
88000.0,0.9060465870636025
89000.0,0.9071965754487609
90000.0,0.9083140191157283
91000.0,0.909398760888618
92000.0,0.9104506507026008
93000.0,0.9114695456280313
94000.0,0.9124553099541676
95000.0,0.9134078152277053
96000.0,0.9143269402860479
97000.0,0.9152125713307818
98000.0,0.9160646019283866
99000.0,0.9168829330934697
100000.0,0.9176674732766303
101000.0,0.9184181384139705
102000.0,0.9191348519426934
103000.0,0.9198175448341785
104000.0,0.9204661556010241
105000.0,0.9210806302961926
106000.0,0.9216609225480064
107000.0,0.9222069935463927
108000.0,0.9227188120528348
109000.0,0.9231963543744606
110000.0,0.9236396044011143
111000.0,0.9240485535455598
112000.0,0.9244232007684868
113000.0,0.9247635525286925
114000.0,0.9250696227779799
115000.0,0.9253414329264866
116000.0,0.9255790118257295
117000.0,0.925782395725828
118000.0,0.9259516282251067
119000.0,0.9260867602512559
120000.0,0.9261878500168058
121000.0,0.9262549629490364
122000.0,0.9262881716515824
123000.0,0.9262875558630865
124000.0,0.9262532023679634
125000.0,0.926185204970289
126000.0,0.9260836643982702
127000.0,0.9259486882449406
128000.0,0.9257803909286346
129000.0,0.9255788935612325
130000.0,0.9253443239072356
131000.0,0.9263620510008648
132000.0,0.9273766524207486
133000.0,0.928388121337717
134000.0,0.9293964511074948
135000.0,0.930401635116552
136000.0,0.9314036668077164
137000.0,0.9324025396501596
138000.0,0.9333982471652081
139000.0,0.9343907829225573
140000.0,0.9353801405355372
141000.0,0.9363663136438092
142000.0,0.9373492959528839
143000.0,0.9383290812033779
144000.0,0.939305663171032
145000.0,0.9402790356976328
146000.0,0.9412491926514864
147000.0,0.9422161279448555
148000.0,0.9431798355432597
149000.0,0.9441403094470241
150000.0,0.9450975437102065
151000.0,0.9460515324261236
152000.0,0.9470022697283926
153000.0,0.947949749803593
154000.0,0.9488939668781888
155000.0,0.9498349152188982
156000.0,0.9507725891455324
157000.0,0.9517069830134891
158000.0,0.9526380912316781
159000.0,0.9535659082490431
160000.0,0.9544904285545844
161000.0,0.9554116466865015
162000.0,0.9563295572363317
163000.0,0.9572441548225281
164000.0,0.9581554341172254
165000.0,0.959063389845995
166000.0,0.9599680167614574
167000.0,0.9608693096741423
168000.0,0.9617672634306771
169000.0,0.9626618729267146
170000.0,0.9635531331162752
171000.0,0.9644410389668225
172000.0,0.9653255855129931
173000.0,0.9662067678388873
174000.0,0.9670845810553894
175000.0,0.9679590203273074
176000.0,0.9688300808689365
177000.0,0.9696977579347441
178000.0,0.9705620468198047
179000.0,0.9714229428776244
180000.0,0.9722807147424901
181000.0,0.9721550573334793
182000.0,0.9720326172561222
183000.0,0.9719133779035286
184000.0,0.9717973229923093
185000.0,0.9716844365850713
186000.0,0.9715747030817968
187000.0,0.9714681072114163
188000.0,0.9713646340143455
189000.0,0.9712642688611758
190000.0,0.9711669974442563
191000.0,0.9710728057650599
192000.0,0.9709816801352161
193000.0,0.97089360717295
194000.0,0.9708085737952766
195000.0,0.9707265672278492
196000.0,0.970647574984138
197000.0,0.9705715848798098
198000.0,0.9704985850209111
199000.0,0.9704285637831217
200000.0,0.9703615098529877
201000.0,0.9702974121764542
