depth,ani
1000.0,1.3877272859723184
2000.0,1.3806656600470433
3000.0,1.3774831720311262
4000.0,1.3740948584241623
5000.0,1.3705032340792538
6000.0,1.3667105758164815
7000.0,1.3627192916958166
8000.0,1.3585319138791796
9000.0,1.3541510964617387
10000.0,1.3495796145898429
11000.0,1.344820355232717
12000.0,1.339876316546754
13000.0,1.3347506020967954
14000.0,1.3294464191719786
15000.0,1.3239670702821962
16000.0,1.318315951143979
17000.0,1.312496545917446
18000.0,1.3065124215764363
19000.0,1.3003672237280193
20000.0,1.2940646721227251
21000.0,1.2876085535924193
22000.0,1.28100270656173
23000.0,1.274251071884479
24000.0,1.2673575961390409
25000.0,1.2603262926136636
26000.0,1.2531612197637583
27000.0,1.2458664681457052
28000.0,1.2384461790657844
29000.0,1.2309045003060486
30000.0,1.2232456374670575
31000.0,1.215473770765533
32000.0,1.2075931233002888
33000.0,1.1996079271914395
34000.0,1.191522417956028
35000.0,1.1833408265794
36000.0,1.1750673866971604
37000.0,1.1667063252018872
38000.0,1.1582618568294787
39000.0,1.1497381728863845
40000.0,1.1413796251020845
41000.0,1.1344982706161642
42000.0,1.1277699116554059
43000.0,1.1211878457384767
44000.0,1.1147493077313637
45000.0,1.1084516164132447
46000.0,1.1022921696225414
47000.0,1.0962684417820268
48000.0,1.0903779815370263
49000.0,1.084618409482229
50000.0,1.078987416023656
51000.0,1.0734827592072216
52000.0,1.0681022627088415
53000.0,1.0628438139409497
54000.0,1.0577053621397685
55000.0,1.0526849165712209
56000.0,1.0477805448141517
57000.0,1.0429903710822164
58000.0,1.0383125745998778
59000.0,1.0337453880975096
60000.0,1.0292870962253595
61000.0,1.0249360344262382
62000.0,1.0206905871047853
63000.0,1.0165491865949399
64000.0,1.0125103118222316
65000.0,1.0085724858898628
66000.0,1.00473427971766
67000.0,1.0009943026104455
68000.0,0.997351210520065
69000.0,0.9938036953711716
70000.0,0.9903504912186323
71000.0,0.9869903720264919
72000.0,0.9837221482850163
73000.0,0.9805446678817601
74000.0,0.9774568148148839
75000.0,0.9744575083814108
76000.0,0.9715457023505751
77000.0,0.96872038416801
78000.0,0.9659805742303587
79000.0,0.9633253218765199
80000.0,0.9607537179079156
81000.0,0.9601174195890501
82000.0,0.9594535434177573
83000.0,0.9587621790129451
84000.0,0.9580434170676645
85000.0,0.9572973509105873
86000.0,0.956524076475442
87000.0,0.9557236922655087
88000.0,0.9548962993575545
89000.0,0.9540420013612233
90000.0,0.9531609043952026
91000.0,0.9522531170809996
92000.0,0.9513187504874423
93000.0,0.9503579181370715
94000.0,0.9493707359628553
95000.0,0.9483573222870251
96000.0,0.9473177977949776
97000.0,0.9462522855043021
98000.0,0.9451609107558894
99000.0,0.944043801155244
100000.0,0.9429010865763263
101000.0,0.9417328991155075
102000.0,0.9405393730682908
103000.0,0.9393206448954413
104000.0,0.9380768532122561
105000.0,0.9368081387285084
106000.0,0.9355146442491038
107000.0,0.9341965146230847
108000.0,0.9328538967389561
109000.0,0.9314869394509401
110000.0,0.9300957935876288
111000.0,0.9286806119124309
112000.0,0.9272415490829089
113000.0,0.9257787616247334
114000.0,0.924292407899402
115000.0,0.9227826480725323
116000.0,0.9212496440816164
117000.0,0.919693559604455
118000.0,0.9181145600213076
119000.0,0.9165128123960518
120000.0,0.9148884854299272
121000.0,0.9132417494337187
122000.0,0.9115727762892192
123000.0,0.9098817394338704
124000.0,0.9081688137977227
125000.0,0.9064341758031759
126000.0,0.9046780032982741
127000.0,0.902900475548356
128000.0,0.901101773201575
129000.0,0.8992820782349005
130000.0,0.8974415739201828
131000.0,0.8971565162022139
132000.0,0.8968709933089015
133000.0,0.8965850090023233
134000.0,0.8962985672019713
135000.0,0.8960116718254781
136000.0,0.895724326809284
137000.0,0.8954365360795811
138000.0,0.8951483035805727
139000.0,0.8948596332539396
140000.0,0.8945705290594677
141000.0,0.8942809949460531
142000.0,0.8939910348756525
143000.0,0.8937006528237819
144000.0,0.8934098527545847
145000.0,0.8931186386447395
146000.0,0.8928270144882037
147000.0,0.8925349842543667
148000.0,0.8922425519373448
149000.0,0.8919497215437667
150000.0,0.891656497055234
151000.0,0.8913628824817573
152000.0,0.8910688818326628
153000.0,0.8907744991044683
154000.0,0.8904797383213142
155000.0,0.8901846034902197
156000.0,0.8898890986288205
157000.0,0.8895932277658959
158000.0,0.8892969949166181
159000.0,0.8890004041144388
160000.0,0.8887034593749207
161000.0,0.8884061647399727
162000.0,0.8881085242332961
163000.0,0.8878105418961636
164000.0,0.8875122217513413
165000.0,0.8872135678472182
166000.0,0.8869145842133638
167000.0,0.8866152748920175
168000.0,0.88631564391889
169000.0,0.8860156953420051
170000.0,0.8857154331941589
171000.0,0.8854148615201266
172000.0,0.8851139843575229
173000.0,0.8848128057555906
174000.0,0.8845113297435546
175000.0,0.884209560374473
176000.0,0.8839075016850046
177000.0,0.8836051577112399
178000.0,0.8833025324961226
179000.0,0.882999630074353
180000.0,0.8826975430248577
181000.0,0.8830387686347665
182000.0,0.8833903193338898
183000.0,0.8837521918356984
184000.0,0.884124383655102
185000.0,0.8845068931184229
186000.0,0.8848997193522357
187000.0,0.8853028622692184
188000.0,0.8857163225900485
189000.0,0.8861401018207605
190000.0,0.8865742022673676
191000.0,0.8870186270254906
192000.0,0.8874733799711174
193000.0,0.8879384657666445
194000.0,0.8884138898677889
195000.0,0.888899658506729
196000.0,0.889395778710063
197000.0,0.8899022582746797
198000.0,0.8904191057784372
199000.0,0.8909463305919331
200000.0,0.8914839428458069
201000.0,0.892031953474274
