39.7	64.53
37.14	63.43
41.41	58.68
39.91	66.69
36.63	62.61
41.65	61.26
44.32	64.93
37.49	63.64
43.66	63.67
42.5	66.77
43.32	59.75
37.32	59.96
35.85	58.63
41.07	64.14
44.03	65.29
38.35	63.1
37.96	65.28
36.66	65.4
43.02	65.39
38.68	63.92
39.89	59.35
43.2	64.85
38.04	67.45
37.28	61.3
39.36	60.72
37.38	65.03
37.25	63.35
38.31	62.8
44.09	60.53
35.6	66.88
41.83	63.28
40.38	59.49
44.74	61.85
41.33	62.16
35.66	63.56
40.26	60.82
36	66.28
36.03	61.45
42.78	67.48
40.97	65.7
42.27	64.53
41.69	67.17
40.5	62.21
41.75	62.6
36.81	62.58
40.62	62.18
39.25	65.45
40.38	63.05
36.4	60.85
39.7	64.41
