-0.001243	-0.07508
0.0001452	-0.07196
0.001483	-0.06875
0.002767	-0.06547
0.003993	-0.06212
0.00516	-0.0587
0.006266	-0.05521
0.007307	-0.05167
0.008282	-0.04806
0.009189	-0.0444
0.01003	-0.04069
0.0108	-0.03693
0.0115	-0.03312
0.01212	-0.02928
0.01268	-0.0254
0.01316	-0.02149
0.01357	-0.01756
0.0139	-0.0136
0.01417	-0.009626
0.01437	-0.005638
0.01449	-0.001641
0.01456	0.00236
0.01455	0.006362
0.01449	0.01036
0.01437	0.01435
0.01418	0.01832
0.01395	0.02228
0.01366	0.02622
0.01333	0.03014
0.01294	0.03402
0.01252	0.03788
0.01204	0.0417
0.01153	0.04548
0.01098	0.04923
0.01038	0.05293
0.009758	0.05658
0.0091	0.06019
0.008411	0.06374
0.007697	0.06724
0.006959	0.07068
0.006202	0.07406
0.005431	0.07737
0.004648	0.08062
0.003859	0.08379
0.003067	0.08689
0.002278	0.08991
0.001494	0.09285
0.0007198	0.09569
-4.025e-05	0.09845
-0.0007828	0.1011
-0.001504	0.1037
-0.002201	0.1061
-0.00287	0.1085
-0.003507	0.1107
-0.004111	0.1129
-0.004677	0.1149
-0.005202	0.1168
-0.005685	0.1186
-0.006122	0.1203
-0.006511	0.1219
-0.00685	0.1234
-0.007138	0.1247
-0.007371	0.126
-0.007549	0.1272
-0.007671	0.1282
-0.007735	0.1292
-0.007742	0.1301
-0.00769	0.1309
-0.00758	0.1316
-0.007411	0.1322
-0.007183	0.1327
-0.006897	0.1331
-0.006551	0.1335
-0.006147	0.1337
-0.005684	0.1339
-0.005162	0.134
-0.004581	0.134
-0.003943	0.134
-0.003247	0.1338
-0.002495	0.1336
-0.001688	0.1333
-0.0008265	0.133
8.744e-05	0.1326
0.001052	0.1321
0.002066	0.1315
0.003126	0.1309
0.004232	0.1302
0.00538	0.1294
0.006569	0.1285
0.007796	0.1276
0.00906	0.1266
0.01036	0.1255
0.01169	0.1243
0.01305	0.1231
0.01443	0.1218
0.01584	0.1203
0.01728	0.1189
0.01873	0.1173
0.0202	0.1156
0.02168	0.1139
0.02317	0.1121
0.02466	0.1102
0.02616	0.1082
0.02765	0.1061
0.02913	0.104
0.03059	0.1018
0.03203	0.0995
0.03344	0.09714
0.03481	0.09471
0.03613	0.09221
0.03739	0.08963
0.03858	0.08698
0.0397	0.08424
0.04073	0.08142
0.04167	0.07852
0.0425	0.07554
0.04322	0.07246
0.04382	0.06929
0.0443	0.06603
0.04463	0.06266
0.04483	0.05921
0.04489	0.05564
0.04479	0.05198
0.04454	0.04821
0.04413	0.04433
0.04356	0.04035
0.04283	0.03626
0.04192	0.03206
0.04085	0.02774
0.0396	0.02332
