0	0.1673	-0.05295
0.04885	0.1591	-0.05519
0.0977	0.149	-0.05792
0.1466	0.1374	-0.06099
0.1954	0.1248	-0.06428
0.2443	0.1113	-0.06767
0.2931	0.09731	-0.07106
0.342	0.08304	-0.07435
0.3908	0.06871	-0.07745
0.4397	0.0545	-0.08028
0.4885	0.04058	-0.08278
0.5374	0.02709	-0.08491
0.5862	0.01414	-0.08662
0.6351	0.001847	-0.08791
0.6839	-0.009727	-0.08877
0.7328	-0.02052	-0.08919
0.7816	-0.03048	-0.08921
0.8305	-0.03959	-0.08885
0.8793	-0.04782	-0.08815
0.9282	-0.05516	-0.08714
0.977	-0.06163	-0.08588
1.026	-0.06722	-0.08441
1.075	-0.07196	-0.08277
1.124	-0.07586	-0.08102
1.172	-0.07896	-0.0792
1.221	-0.08128	-0.07736
1.27	-0.08285	-0.07552
1.319	-0.08373	-0.07375
1.368	-0.08393	-0.07206
1.417	-0.08352	-0.07051
1.466	-0.08253	-0.06911
1.514	-0.08102	-0.06791
1.563	-0.07904	-0.06693
1.612	-0.07665	-0.06619
1.661	-0.07391	-0.0657
1.71	-0.07088	-0.06549
1.759	-0.06762	-0.06556
1.808	-0.06421	-0.0659
1.856	-0.06071	-0.06651
1.905	-0.05717	-0.06738
1.954	-0.05367	-0.06848
2.003	-0.05026	-0.0698
2.052	-0.047	-0.07129
2.101	-0.04391	-0.07294
2.149	-0.04105	-0.0747
2.198	-0.03845	-0.07655
2.247	-0.03613	-0.07844
2.296	-0.0341	-0.08036
2.345	-0.03237	-0.08226
2.394	-0.03096	-0.08413
2.443	-0.02986	-0.08595
2.491	-0.02908	-0.0877
2.54	-0.02861	-0.08938
2.589	-0.02846	-0.09097
2.638	-0.02863	-0.09247
2.687	-0.02911	-0.09388
2.736	-0.02989	-0.09518
2.785	-0.03097	-0.09636
2.833	-0.03234	-0.09743
2.882	-0.034	-0.09836
2.931	-0.03593	-0.09915
2.98	-0.03813	-0.09977
3.029	-0.04057	-0.1002
3.078	-0.04326	-0.1004
